title,author,publisher,publishing_date,pages,price,language,ISBN_13,complete_link,comments
Data Analysis using R (Low Priced Edition): A Primer for Data Scientist,Dr Dhaval Maheta,Notion Press Media Pvt Ltd,2021-11-22,500.0,6.75,English,978-1685549596,https://www.amazon.com/Data-Analysis-Using-Low-Priced/dp/1685549594/ref=sr_1_16?keywords=data+analysis&qid=1671164640&sr=8-16,NaN
"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions",NaN,"O'Reilly Media, 1st edition",2009-08-18,484.0,33.72,English,978-0596153939,https://www.amazon.com/Head-First-Data-Analysis-statistics/dp/0596153937/ref=sr_1_15?keywords=data+analysis&qid=1671164640&sr=8-15,NaN
Guerrilla Data Analysis using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,Oz du Soleil and Bill Jelen,"Holy Macro! Books, Third edition",2022-08-01,274.0,32.07,English,978-1615470747,https://www.amazon.com/Guerrilla-Analysis-Using-Microsoft-Excel/dp/1615470743/ref=sr_1_14?keywords=data+analysis&qid=1671164640&sr=8-14,NaN
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",William McKinney,"O'Reilly Media, 2nd edition",2017-11-14,547.0,53.99,English,978-1491957660,https://www.amazon.com/Python-Data-Analysis-Wrangling-IPython/dp/1491957662/ref=sr_1_11?keywords=data+analysis&qid=1671164640&sr=8-11,NaN
Excel Data Analysis for Dummies (for Dummies (Computer/Tech)),Paul McFedries,"For Dummies, 5th edition",2022-02-03,368.0,24.49,English,978-1119844426,https://www.amazon.com/Excel-Data-Analysis-Dummies-Computer/dp/1119844428/ref=sr_1_12?keywords=data+analysis&qid=1671164640&sr=8-12,NaN
Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.amazon.com/Everything-Data-Analytics-Beginners-Understanding/dp/B0B52FL5RT/ref=sr_1_10?keywords=data+analysis&qid=1671164640&sr=8-10,NaN
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,Cathy Tanimura,"O'Reilly Media, 1st edition",2021-10-05,360.0,40.49,English,978-1492088783,https://www.amazon.com/SQL-Data-Analysis-Techniques-Transforming/dp/1492088781/ref=sr_1_9?keywords=data+analysis&qid=1671164640&sr=8-9,NaN
Qualitative Data Analysis: A Methods Sourcebook,"Matthew B. Miles, A. Michael Huberman, et al.","SAGE Publications, Inc, 4th edition",2019-01-22,408.0,90.0,English,NaN,https://www.amazon.com/Qualitative-Data-Analysis-Methods-Sourcebook/dp/150635307X/ref=sr_1_13?keywords=data+analysis&qid=1671164640&sr=8-13,Research in Drama Education
Topological Data Analysis with Applications,Gunnar Carlsson and Mikael Vejdemo-Johansson,"Cambridge University Press, 1st edition",2022-03-24,230.0,54.19,English,978-1108838658,https://www.amazon.com/Topological-Analysis-Applications-Gunnar-Carlsson/dp/1108838650/ref=sr_1_37?keywords=data+analysis&qid=1671164640&sr=8-37,NaN
"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse",Robert I. Kabacoff,"Manning, 3rd edition",2022-05-03,656.0,56.99,English,978-1617296055,https://www.amazon.com/Action-Third-Robert-I-Kabacoff/dp/1617296058/ref=sr_1_60?keywords=data+analysis&qid=1671164640&sr=8-60,NaN
"Listening to People: A Practical Guide to Interviewing, Participant Observation, Data Analysis, and Writing It All Up (Chicago Guides to Writing, Editing, and Publishing)",NaN,University of Chicago Press,2021-10-15,333.0,20.0,English,978-0226806433,https://www.amazon.com/Listening-People-Interviewing-Participant-Observation/dp/022680643X/ref=sr_1_59?keywords=data+analysis&qid=1671164640&sr=8-59,NaN
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,Chad Knowles,Independently published,2022-09-21,106.0,15.97,English,979-8354008353,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0492571P7LVKSU93F2O&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-Data-Analytics-efficient-analysis%2Fdp%2FB0BG5JN89K%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-17-spons%26psc%3D1,NaN
Python for Beginners: 2 Books in 1: The Perfect Beginner's Guide to Learning How to Program with Python with a Crash Course + Workbook,"Programming Languages Academy, Matthew Kinsey, et al.",NaN,NaN,NaN,NaN,NaN,NaN,https://www.amazon.com/Python-Beginners-Perfect-Learning-Workbook/dp/B084VHN9M6/ref=sr_1_59?keywords=python&qid=1671164641&sr=8-59,NaN
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data ... Present Data Effectively (All Things Data)",NaN,Kenneth M Fornari,2022-11-10,528.0,28.6,English,NaN,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A099800857YLNLKS5F3Q&qualifier=1671164640&id=6357489869092693&widgetName=sp_atf&url=%2FData-Analytics-Visualization-Communicating-Effectively%2Fdp%2F1777967198%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-1-spons%26psc%3D1,NaN
Getting Started with Natural Language Processing,Ekaterina Kochmar,Manning,2022-10-18,456.0,39.99,English,NaN,https://www.amazon.com/Getting-Started-Natural-Language-Processing/dp/1617296767/ref=sr_1_60?keywords=python&qid=1671164641&sr=8-60,NaN
"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL",Walter Shields,"ClydeBank Media LLC, Illustrated edition",2019-11-18,249.0,24.99,English,978-1945051753,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00592412L7KU7OYRNUNP&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-QuickStart-Guide-Simplified-Manipulating%2Fdp%2F1945051752%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-18-spons%26psc%3D1,NaN
Monty Python and The Holy Grail,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.amazon.com/Monty-Python-Grail-Graham-Chapman/dp/B07PGCJM9V/ref=sr_1_54?keywords=python&qid=1671164641&sr=8-54,NaN
Python in easy steps,NaN,"In Easy Steps Limited, 2nd edition",2018-08-28,192.0,10.69,English,978-1840788129,https://www.amazon.com/Python-easy-steps-Covers-3-7/dp/1840788127/ref=sr_1_58?keywords=python&qid=1671164641&sr=8-58,NaN
Python para Principiantes: 2 Libros en 1: Programación de Python para principiantes + Libro de trabajo de Python (Spanish Edition),Programming Languages Academy,Independently published,2020-05-02,234.0,19.38,Spanish,979-8642649534,https://www.amazon.com/Python-para-Principiantes-Programaci%C3%B3n-principiantes/dp/B087SG2H2X/ref=sr_1_53?keywords=python&qid=1671164641&sr=8-53,NaN
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage,"Antoine Jacquier, Oleksiy Kondratyev, et al.",Packt Publishing,2022-10-31,442.0,49.99,English,NaN,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0112114AAL7F70PN39A&qualifier=1671164641&id=635941087458057&widgetName=sp_mtf&url=%2FQuantum-Machine-Learning-Optimisation-Finance%2Fdp%2F1801813574%2Fref%3Dsr_1_30_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1671164641%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-30-spons%26psc%3D1,NaN
Python Tricks: A Buffet of Awesome Python Features,Dan Bader,"Dan Bader, 1st edition",2017-10-25,301.0,29.99,English,978-1775093305,https://www.amazon.com/Python-Tricks-Buffet-Awesome-Features/dp/1775093301/ref=sr_1_56?keywords=python&qid=1671164641&sr=8-56,NaN
Think Bayes: Bayesian Statistics in Python (O'reilly),Allen B. Downey,"O'Reilly Media, 2nd edition",2021-06-08,338.0,24.2,English,978-1492089469,https://www.amazon.com/Think-Bayes-Bayesian-Statistics-Python/dp/149208946X/ref=sr_1_55?keywords=python&qid=1671164641&sr=8-55,NaN
Monty Python and the Holy Grail (Special Edition),NaN,NaN,NaN,NaN,9.99,"English, Japanese",NaN,https://www.amazon.com/Monty-Python-Holy-Grail-Special/dp/B00005O3VC/ref=sr_1_57?keywords=python&qid=1671164641&sr=8-57,"Avaliable languages: Japanese (Dolby Digital 2.0 Mono), English (Dolby Digital 5.1), English (Dolby Digital 2.0 Mono)"
Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,"O'Reilly Media, 2nd edition",2023-01-31,550.0,68.59,English,978-1098121228,https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1098121228/ref=sr_1_52?keywords=python&qid=1671164641&sr=8-52,NaN
Data Science for Supply Chain forecasting,Nicolas Vandeput,"De Gruyter, 2nd edition",2021-03-22,280.0,51.95,English,978-3110671100,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09610732VGIZWA3ZD5ZK&qualifier=1671164641&id=1501437279550579&widgetName=sp_btf&url=%2FData-Science-Supply-Chain-Forecasting%2Fdp%2F3110671107%2Fref%3Dsr_1_60_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671164641%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-60-spons%26psc%3D1,NaN
"Python Tools for Scientists: An Introduction to using Anaconda, JupyterLab, and Python's Scientific Libraries",Lee Vaughan,No Starch Press,2023-01-17,NaN,29.99,English,NaN,https://www.amazon.com/Python-Tools-Scientists-Introduction-JupyterLab-ebook/dp/B09WJXRNWT/ref=sr_1_48?keywords=python&qid=1671164641&sr=8-48,NaN
"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,"O'Reilly Media, 2nd edition",2022-05-10,1012.0,50.99,English,978-1492056355,https://www.amazon.com/Fluent-Python-Concise-Effective-Programming/dp/1492056359/ref=sr_1_51?keywords=python&qid=1671164641&sr=8-51,NaN
Python Programming for Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects,Leonard J. Ledger,Independently published,2022-09-24,88.0,15.97,English,979-8354411122,https://www.amazon.com/Python-Programming-Beginners-Step-Hands/dp/B0BFTYFPBY/ref=sr_1_46?keywords=python&qid=1671164641&sr=8-46,NaN
Boa Vs. Python,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.amazon.com/Boa-Vs-Python-David-Hewlett/dp/B076JK1T3J/ref=sr_1_42?keywords=python&qid=1671164641&sr=8-42,NaN
Practical Linear Algebra for Data Science: From Core Concepts to Applications using Python,Mike Cohen,"O'Reilly Media, 1st edition",2022-10-18,328.0,54.99,English,978-1098120610,https://www.amazon.com/Practical-Linear-Algebra-Data-Science/dp/1098120612/ref=sr_1_50?keywords=python&qid=1671164641&sr=8-50,NaN
Preparing for A Data Interview: Learn Enough Python for A Project Or An Interview,Jonelle Hoop,Independently published,2022-12-10,24.0,10.74,English,979-8367888348,https://www.amazon.com/Preparing-Data-Interview-Enough-Project/dp/B0BPQW6X5X/ref=sr_1_47?keywords=python&qid=1671164641&sr=8-47,NaN
Coding Games in Python (Computer Coding for Kids),DK,"DK Children, Illustrated edition",2018-07-03,224.0,13.99,English,NaN,https://www.amazon.com/Coding-Games-Python-DK/dp/1465473610/ref=sr_1_45?keywords=python&qid=1671164641&sr=8-45,NaN
Python for Everybody: Exploring Data in Python 3,"Charles R. Severance, Aimee Andrion, et al.",NaN,NaN,387.0,0.99,English,NaN,https://www.amazon.com/Python-Everybody-Exploring-Data-ebook/dp/B01IA5VIFM/ref=sr_1_44?keywords=python&qid=1671164641&sr=8-44,NaN
Think Python: How to Think Like a Computer Scientist,NaN,"O'Reilly Media, 2nd edition",2016-01-26,289.0,28.99,English,978-1491939369,https://www.amazon.com/Think-Python-Like-Computer-Scientist/dp/1491939362/ref=sr_1_43?keywords=python&qid=1671164641&sr=8-43,NaN
Python Programming for Beginners: Python Programming Creak Course to Get Python Coding Well & Quick,Donald P. Wilson,NaN,NaN,100.0,NaN,English,NaN,https://www.amazon.com/Python-Programming-Beginners-Course-Coding-ebook/dp/B0BN99NQYV/ref=sr_1_39?keywords=python&qid=1671164641&sr=8-39,NaN
Python for Algorithmic Trading: From Idea to Cloud Deployment,Yves Hilpisch,"O'Reilly Media, 1st edition",2020-12-08,380.0,44.49,English,978-1492053354,https://www.amazon.com/Python-Algorithmic-Trading-Cloud-Deployment/dp/149205335X/ref=sr_1_40?keywords=python&qid=1671164641&sr=8-40,NaN
Python for Data Science: A Hands-On Introduction,Yuli Vasiliev,No Starch Press,2022-08-02,240.0,27.99,English,978-1718502208,https://www.amazon.com/Python-Data-Science-Example-Vasiliev/dp/1718502206/ref=sr_1_38?keywords=python&qid=1671164641&sr=8-38,NaN
Practical Deep Learning: A Python-Based Introduction,Ronald T. Kneusel,No Starch Press,2021-02-23,464.0,36.99,English,NaN,https://www.amazon.com/Deep-Learning-Beginners-Python-Based-Introduction/dp/1718500742/ref=sr_1_41?keywords=python&qid=1671164641&sr=8-41,NaN
Murach's Python for Data Analysis (Training & Reference),Scott Mccoy,Mike Murach & Associates Inc,2021-08-30,559.0,59.2,English,978-1943872763,https://www.amazon.com/Murachs-Python-Analysis-Scott-McCoy/dp/1943872767/ref=sr_1_108?keywords=data+analysis&qid=1671164651&sr=8-108,NaN
Robust Python: Write Clean and Maintainable Code,Patrick Viafore,"O'Reilly Media, 1st edition",2021-08-03,380.0,32.99,English,978-1098100667,https://www.amazon.com/Robust-Python-Write-Clean-Maintainable/dp/1098100662/ref=sr_1_37?keywords=python&qid=1671164641&sr=8-37,NaN
"EXCEL DATA ANALYSIS: THE ULTIMATE PRACTICAL GUIDE TO MASTERING DATA ANALYSIS USING EXCEL DATA & STATISTICAL TABLES, PIVOT TABLES, AND FINANCIAL ANALYSIS TOOLS",JOE WEBINAR,Independently published,2022-02-21,175.0,14.0,English,979-8420836248,https://www.amazon.com/EXCEL-DATA-ANALYSIS-PRACTICAL-STATISTICAL/dp/B09T2X7NWT/ref=sr_1_107?keywords=data+analysis&qid=1671164651&sr=8-107,NaN
Learning Spark: Lightning-Fast Data Analytics,"Jules Damji, Brooke Wenig, et al.","O'Reilly Media, 2nd edition",2020-08-25,397.0,40.99,English,978-1492050049,https://www.amazon.com/Learning-Spark-Jules-Damji/dp/1492050040/ref=sr_1_106?keywords=data+analysis&qid=1671164651&sr=8-106,NaN
Applied Text Analysis with Python: Enabling Language-Aware Data Products with Machine Learning,"Benjamin Bengfort, Rebecca Bilbro, et al.","O'Reilly Media, 1st edition",2018-07-17,332.0,44.99,English,978-1491963043,https://www.amazon.com/Applied-Text-Analysis-Python-Language-Aware/dp/1491963042/ref=sr_1_105?keywords=data+analysis&qid=1671164651&sr=8-105,NaN
"Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis, data preparation, forecasting, and model evaluation",Tarek A. Atwan,Packt Publishing,2022-06-30,630.0,49.99,English,978-1801075541,https://www.amazon.com/Time-Analysis-Python-Cookbook-exploratory/dp/1801075549/ref=sr_1_102?keywords=data+analysis&qid=1671164651&sr=8-102,NaN
"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data",Anthony DeBarros,"No Starch Press, 2nd edition",2022-01-25,464.0,27.99,English,NaN,https://www.amazon.com/Practical-SQL-2nd-Beginners-Storytelling/dp/1718501064/ref=sr_1_104?keywords=data+analysis&qid=1671164651&sr=8-104,NaN
Dyadic Data Analysis (Methodology in the Social Sciences),NaN,"The Guilford Press, 1st edition",2020-11-26,458.0,55.32,English,978-1462546138,https://www.amazon.com/Dyadic-Analysis-Methodology-Social-Sciences/dp/1462546137/ref=sr_1_103?keywords=data+analysis&qid=1671164651&sr=8-103,NaN
Exploratory Data Analysis (Classic Version) (Pearson Modern Classic),John Tukey,"Pearson, 1st edition",2019-04-18,720.0,105.99,English,978-0134995458,https://www.amazon.com/Exploratory-Data-Analysis-Classic-Version/dp/0134995457/ref=sr_1_101?keywords=data+analysis&qid=1671164651&sr=8-101,NaN
Kafka: The Definitive Guide: Real-Time Data and Stream Processing at Scale,"Gwen Shapira, Todd Palino, et al.","O'Reilly Media, 2nd edition",2021-11-30,488.0,31.99,English,NaN,https://www.amazon.com/Kafka-Definitive-Real-Time-Stream-Processing/dp/1492043087/ref=sr_1_100?keywords=data+analysis&qid=1671164651&sr=8-100,NaN
An Introduction to Statistics and Data Analysis using Stata: From Research Design to Final Report,Lisa Daniels and Nicholas W. Minot,"SAGE Publications, Inc, 1st edition",2019-01-29,392.0,75.24,English,978-1506371832,https://www.amazon.com/Introduction-Statistics-Analysis-Using-Stata%C2%AE/dp/1506371833/ref=sr_1_98?keywords=data+analysis&qid=1671164651&sr=8-98,NaN
"Microsoft 365 Excel: The Only App That Matters: Calculations, Analytics, Modeling, Data Analysis and Dashboard Reporting for the New Era of Dynamic Data Driven Decision Making & Insight",Mike Girvin,Holy Macro! Books,2022-08-01,824.0,34.95,English,978-1615470709,https://www.amazon.com/Microsoft-365-Excel-Calculations-Analytics/dp/1615470700/ref=sr_1_96?keywords=data+analysis&qid=1671164651&sr=8-96,NaN
Naked Statistics: Stripping the Dread from the Data,NaN,"W. W. Norton & Company, 1st edition",2014-01-13,304.0,1.69,English,978-0393347777,https://www.amazon.com/Naked-Statistics-Stripping-Dread-Data/dp/039334777X/ref=sr_1_99?keywords=data+analysis&qid=1671164651&sr=8-99,NaN
"Machine Learning: 4 Books in 1: The #1 Beginner's Guide to Master the Basics of Python Programming, Learn the Art of Data Science and Build Artificial Intelligence",Andrew Park and Russell Newton,NaN,NaN,NaN,NaN,NaN,NaN,https://www.amazon.com/Data-Science-Beginners-Programming-Learning/dp/B0869Q3Z3H/ref=sr_1_94?keywords=data+analysis&qid=1671164651&sr=8-94,NaN
Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,"Neal Ford, Mark Richards, et al.","O'Reilly Media, 1st edition",2021-11-30,459.0,30.99,English,NaN,https://www.amazon.com/Software-Architecture-Trade-Off-Distributed-Architectures/dp/1492086894/ref=sr_1_95?keywords=data+analysis&qid=1671164651&sr=8-95,NaN
Analyzing Social Networks using R,"Stephen P. Borgatti, Martin G. Everett, et al.","SAGE Publications Ltd, 1st edition",2022-07-20,384.0,52.21,English,978-1529722475,https://www.amazon.com/Analyzing-Social-Networks-Using-R/dp/1529722470/ref=sr_1_97?keywords=data+analysis&qid=1671164651&sr=8-97,NaN
"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises",Mark Reed,Independently published,2022-07-10,346.0,22.58,NaN,979-8840191583,https://www.amazon.com/SQL-Intermediate-Programming-Practical-Exercises/dp/B0B5MM3RMK/ref=sr_1_93?keywords=data+analysis&qid=1671164651&sr=8-93,NaN
Excel Pivot Tables: Basic Beginners Guide to Learn Excel Pivot Tables for Data Analysis and Modeling,"MG Martin, Peter Prova, et al.",NaN,NaN,NaN,NaN,NaN,NaN,https://www.amazon.com/Excel-Pivot-Tables-Beginners-Analysis/dp/B07VGL7S7V/ref=sr_1_92?keywords=data+analysis&qid=1671164651&sr=8-92,NaN
"Data Analysis with Python: Introducing NumPy, Pandas, Matplotlib, and Essential Elements of Python Programming (English Edition)",Rituraj Dixit,BPB Publications,2022-08-20,276.0,29.95,English,978-9355510655,https://www.amazon.com/Data-Analysis-Python-Introducing-Programming/dp/9355510659/ref=sr_1_91?keywords=data+analysis&qid=1671164651&sr=8-91,NaN
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",Paul Deitel and Harvey Deitel,"Pearson, 1st edition",2019-02-15,880.0,97.99,English,978-0135404676,https://www.amazon.com/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_90?keywords=data+analysis&qid=1671164651&sr=8-90,NaN
"Hands-On Data Analysis with Pandas: Efficiently perform data collection, wrangling, analysis, and visualization using Python",Stefanie Molin,"Packt Publishing, 1st edition",2019-07-26,716.0,21.09,English,NaN,https://www.amazon.com/Hands-Data-Analysis-Pandas-visualization-ebook/dp/B07KJQN1CC/ref=sr_1_87?keywords=data+analysis&qid=1671164651&sr=8-87,NaN
Thematic Analysis: A Practical Guide,Virginia Braun and Victoria Clarke,"SAGE Publications Ltd, 1st edition",2021-12-15,376.0,48.99,English,978-1473953246,https://www.amazon.com/Thematic-Analysis-Practical-Virginia-Braun/dp/1473953243/ref=sr_1_89?keywords=data+analysis&qid=1671164651&sr=8-89,NaN
Statistics and Data Analysis for Financial Engineering: with R examples (Springer Texts in Statistics),NaN,"Springer, 2nd ed. 2015 edition",2015-04-22,745.0,71.91,English,978-1493926138,https://www.amazon.com/Statistics-Data-Analysis-Financial-Engineering/dp/1493926136/ref=sr_1_88?keywords=data+analysis&qid=1671164651&sr=8-88,NaN
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",Al Sweigart,"No Starch Press, 2nd edition",2019-11-12,592.0,26.49,English,NaN,https://www.amazon.com/Automate-Boring-Stuff-Python-2nd/dp/1593279922/ref=sr_1_86?keywords=data+analysis&qid=1671164651&sr=8-86,NaN
Data Structures and Algorithm Analysis in Java: International Edition,Mark Allen Weiss,"Pearson Education, International ed of 3rd revised ed edition",2012-01-01,640.0,69.0,English,NaN,https://www.amazon.com/Structures-Algorithm-Analysis-Java-Allen/dp/0273752111/ref=sr_1_85?keywords=data+analysis&qid=1671164651&sr=8-85,NaN
Business Analysis for Dummies,"Kupe Kupersmith, Paul Mulvey, et al.","For Dummies, 1st edition",2013-07-22,384.0,18.39,English,NaN,https://www.amazon.com/Business-Analysis-Dummies-Kupe-Kupersmith/dp/1118510585/ref=sr_1_156?keywords=data+analysis&qid=1671164661&sr=8-156,NaN
"Machine Learning Explained The Simple Way: A Beginners Guide to Learning Python for Data Science, Machine Learning and Ace your Data Science Interview With little Coding Experience.",Santos Ozoemena,Independently published,2022-10-31,216.0,11.97,English,979-8803622086,https://www.amazon.com/Machine-Learning-Explained-Simple-Way/dp/B0BLBBNTV4/ref=sr_1_155?keywords=data+analysis&qid=1671164661&sr=8-155,NaN
